Quarter,Net_Margin_Pct,Asset_Turnover,Equity_Multiplier,ROE_DuPont_Pct,ROE_Direct_Pct,Delta_ROE
Q1/2010,4.7929,,,,,
Q2/2010,4.7116,0.9791,3.1332,14.4544,14.4544,
Q3/2010,2.9583,1.0613,3.1683,9.9472,9.9472,-4.5072
Q4/2010,4.2036,0.8234,3.1836,11.02,11.02,1.0728
Q1/2011,4.0774,0.8099,3.0536,10.0843,10.0843,-0.9357
Q2/2011,5.9278,0.7417,2.8377,12.4763,12.4763,2.392
Q3/2011,5.3205,0.7631,2.6469,10.7467,10.7467,-1.7295
Q4/2011,4.1876,0.9496,2.6554,10.5592,10.5592,-0.1875
Q1/2012,5.1495,0.6104,2.5726,8.0859,8.0859,-2.4733
Q2/2012,5.4761,0.6744,2.4002,8.8635,8.8635,0.7776
Q3/2012,4.5764,0.6788,2.3768,7.3833,7.3833,-1.4802
Q4/2012,5.4238,0.6934,2.3481,8.8303,8.8303,1.447
Q1/2013,5.5037,0.6089,2.2288,7.4691,7.4691,-1.3612
Q2/2013,6.2451,0.6325,2.1883,8.6443,8.6443,1.1752
Q3/2013,3.8688,0.7698,2.2479,6.6951,6.6951,-1.9492
Q4/2013,4.7842,0.6789,2.3613,7.6694,7.6694,0.9743
Q1/2014,4.4055,0.6227,2.3718,6.5066,6.5066,-1.1629
Q2/2014,5.1937,0.6096,2.3225,7.3534,7.3534,0.8469
Q3/2014,3.7212,0.7179,2.4783,6.6207,6.6207,-0.7328
Q4/2014,3.4635,0.7233,2.7419,6.8684,6.8684,0.2478
Q1/2015,6.2496,0.3904,2.754,6.7197,6.7197,-0.1487
Q2/2015,6.2295,0.4233,2.4467,6.4519,6.4519,-0.2678
Q3/2015,5.3369,0.4206,2.325,5.2193,5.2193,-1.2326
Q4/2015,7.4523,0.4219,2.4645,7.7489,7.7489,2.5296
Q1/2016,5.1308,0.3434,2.434,4.289,4.289,-3.46
Q2/2016,6.84,0.3682,2.3217,5.8477,5.8477,1.5587
Q3/2016,6.6991,0.3851,2.3655,6.1029,6.1029,0.2552
Q4/2016,6.5914,0.4481,2.5126,7.4206,7.4206,1.3177
Q1/2017,5.6245,0.3318,2.472,4.6127,4.6127,-2.8079
Q2/2017,6.6453,0.36,2.3228,5.5569,5.5569,0.9442
Q3/2017,6.78,0.3801,2.2927,5.9088,5.9088,0.3519
Q4/2017,12.378,0.4628,2.083,11.9324,11.9324,6.0236
Q1/2018,13.7224,0.1901,1.844,4.8113,4.8113,-7.1211
Q2/2018,13.8525,0.2136,1.8462,5.4635,5.4635,0.6522
Q3/2018,14.7206,0.2225,1.9382,6.3476,6.3476,0.8841
Q4/2018,13.282,0.2413,1.9983,6.4052,6.4052,0.0576
Q1/2019,13.9969,0.194,1.9301,5.2412,5.2412,-1.164
Q2/2019,14.4299,0.2312,1.8866,6.2937,6.2937,1.0525
Q3/2019,16.2452,0.2279,1.9544,7.2354,7.2354,0.9417
Q4/2019,11.9299,0.2471,1.9905,5.868,5.868,-1.3674
Q1/2020,14.1002,0.1952,1.9729,5.4308,5.4308,-0.4372
Q2/2020,15.4949,0.199,1.9792,6.1024,6.1024,0.6716
Q3/2020,15.1561,0.2057,2.0416,6.3662,6.3662,0.2639
Q4/2020,14.3964,0.2189,2.1614,6.8105,6.8105,0.4443
Q1/2021,15.1295,0.1764,2.2493,6.0037,6.0037,-0.8068
Q2/2021,14.604,0.1886,2.2986,6.3319,6.3319,0.3282
Q3/2021,15.8237,0.1825,2.3581,6.8081,6.8081,0.4762
Q4/2021,14.5576,0.2102,2.442,7.4732,7.4732,0.6651
Q1/2022,15.8095,0.1781,2.4628,6.9336,6.9336,-0.5396
Q2/2022,15.4662,0.1805,2.4131,6.7351,6.7351,-0.1985
Q3/2022,15.7506,0.2001,2.3473,7.3987,7.3987,0.6636
Q4/2022,12.4097,0.2445,2.1616,6.5584,6.5584,-0.8403
Q1/2023,15.4909,0.2282,1.954,6.9071,6.9071,0.3487
Q2/2023,14.8631,0.2244,1.9991,6.668,6.668,-0.2391
Q3/2023,15.0843,0.2244,2.1515,7.2836,7.2836,0.6156
Q4/2023,13.958,0.2401,2.0982,7.0303,7.0303,-0.2533
Q1/2024,15.3283,0.2304,1.9838,7.0053,7.0053,-0.0251
Q2/2024,15.0054,0.2395,1.9749,7.0977,7.0977,0.0924
Q3/2024,15.518,0.2404,1.9511,7.2792,7.2792,0.1815
Q4/2024,14.1682,0.2529,1.9634,7.0355,7.0355,-0.2437
Q1/2025,16.1566,0.2201,1.983,7.0508,7.0508,0.0153
Q2/2025,16.4499,0.2146,1.9965,7.0472,7.0472,-0.0037
Q3/2025,16.8445,0.2101,1.983,7.0168,7.0168,-0.0304
Q4/2025,14.7498,0.2372,1.973,6.9025,6.9025,-0.1143
