MONTH,Avg_Log_Return,Avg_Volatility,Avg_Log_Return_Pct
1,0.0006588887054187305,0.2031982837988763,0.06588887054187305
2,0.0014889240727398727,0.2610132816671325,0.14889240727398728
3,-0.0025319858954081912,0.2622422619402522,-0.25319858954081914
4,0.0012131146759706375,0.3053732691301136,0.12131146759706375
5,0.0031328619803049317,0.32264694928985177,0.3132861980304932
6,0.00018897750693303096,0.29404243192778395,0.018897750693303097
7,0.001376104442248417,0.2615779547901703,0.1376104442248417
8,0.0027867410254193265,0.2417216196443216,0.27867410254193264
9,-0.0003725390354720031,0.21507765257358277,-0.03725390354720031
10,-0.00043700502975578325,0.2340129752433333,-0.04370050297557833
11,0.0008891057124797107,0.26767270491567463,0.08891057124797107
12,0.0009790522812000131,0.23180444571949763,0.09790522812000131
