Quarter,Price,Fair_Value,Upper_Band,Lower_Band,Band_Position
Q1/2018,15852.997792786731,,,,
Q2/2018,15121.75888321904,,,,
Q3/2018,13426.31622708182,,,,
Q4/2018,13607.09546248943,,,,
Q1/2019,13862.879805135452,,,,
Q2/2019,15610.027249396671,,,,
Q3/2019,18472.38785172101,,,,
Q4/2019,20661.18268204492,15826.830744234383,21221.582649620235,10432.07883884853,0.9480606358361133
Q1/2020,19072.535377860757,16229.272942368638,23523.727833865956,8934.81805087132,0.6948920431879241
Q2/2020,19261.70833173373,16746.766623432974,26621.06324952223,6872.469997343715,0.627347891375672
Q3/2020,20620.69307850079,17646.063729860343,24289.286541341615,11002.840918379068,0.7238845085475298
Q4/2020,23458.64259052257,18877.507120864488,24308.304492074123,13446.70974965485,0.9217737430183017
Q1/2021,31082.751120323835,21029.991035263036,33066.045976831345,8993.936093694725,0.9176102607483994
Q2/2021,38703.82823347889,23916.716158273313,34160.95759110706,13672.474725439566,1.2217280153028953
Q3/2021,46614.46641461758,27434.475978635382,38632.127089149995,16236.82486812077,1.3564291853124515
Q4/2021,48950.440420514366,30970.633195944065,39496.941712574466,22444.324679313668,1.554372310684104
Q1/2022,47052.40920358067,34468.117424159056,44820.62920053854,24115.60564777957,1.107789300377045
Q2/2022,54253.629179872616,38842.107530176414,65337.76394329192,12346.451117060913,0.7908310971693348
Q3/2022,52248.066152733096,42795.52916445545,57742.65630195062,27848.402026960277,0.8161991231266698
Q4/2022,46376.69903272869,45660.28621973122,69302.44525217348,22018.12718728896,0.5151511715155624
Q1/2023,50030.64435843199,48028.77287449474,60512.7859066103,35544.75984237918,0.5801774028426344
Q2/2023,51042.74337358845,49571.13726700843,59186.74721012451,39955.52732389236,0.5765217243256395
Q3/2023,63237.49316215328,51649.0156104504,66043.65255992016,37254.37866098064,0.9025276077605332
Q4/2023,67834.51330346214,54009.52472081887,75526.95349194026,32492.095949697476,0.8212509433561557
Q1/2024,76573.72447871006,57699.68913021004,73894.22521505223,41505.153045367864,1.0827284971184141
Q2/2024,96782.24075729604,63015.76557738797,90078.36528989288,35953.16586488305,1.1238586746768726
Q3/2024,110821.27756000886,70337.41700329744,98491.4882735038,42183.345733091075,1.2189699167870063
Q4/2024,118913.00231059927,79404.45491303127,103139.71388357601,55669.19594248651,1.3322754650917812
Q1/2025,120300.07283120544,88188.13347212794,117320.99451818406,59055.27242607182,1.0511291752003307
Q2/2025,98797.74282662518,94157.50840375753,149132.1850967034,39182.83171081164,0.5422033807382362
Q3/2025,103259.116086375,99160.21126928524,136580.0913216763,61740.33121689417,0.5547690801166512
Q4/2025,95874.4243939394,102665.20015559491,151198.0254407342,54132.374870455635,0.43003935252317926
